# employees, sharesOffered, priceLow, totalExpenses, sharesOutstanding, revenue, netIncome, totalAssets, totalLiabilities, stockholderEquity, amount, percentOffered, state_, state_CA, state_CO, state_CT, state_DC, state_DE, state_FL, state_GA, state_IL, state_KS, state_MA, state_MD, state_MO, state_NC, state_NJ, state_NY, state_PA, state_TN, state_TX, state_UT, state_WA, market_NASDAQ Capital, market_NASDAQ Global, market_NASDAQ Global Select, market_NYSE, market_NYSE MKT
4.900000000000000000e+01,1.000000000000000000e+07,1.200000000000000000e+01,3.499350000000000000e+06,3.140062400000000000e+07,0.000000000000000000e+00,-1.531100000000000000e+07,2.770800000000000000e+07,8.485000000000000000e+06,-8.639200000000000000e+07,1.300000000000000000e+08,3.185000000000000142e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+01,5.000000000000000000e+06,1.400000000000000000e+01,3.200000000000000000e+06,1.920986500000000000e+07,0.000000000000000000e+00,-8.737650000000000000e+06,6.221465400000000000e+07,5.878053000000000000e+06,-6.185239200000000000e+07,7.500000000000000000e+07,2.603000000000000114e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.900000000000000000e+01,7.812500000000000000e+06,1.500000000000000000e+01,3.000000000000000000e+06,3.506440600000000000e+07,0.000000000000000000e+00,-2.942800000000000000e+07,2.830300000000000000e+07,9.001000000000000000e+06,-5.295000000000000000e+07,1.250000000000000000e+08,2.228000000000000114e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.900000000000000000e+01,3.333334000000000000e+06,1.400000000000000000e+01,2.100000000000000000e+06,1.211327800000000000e+07,2.334000000000000000e+06,-1.779200000000000000e+07,2.005400000000000000e+07,5.601000000000000000e+06,-3.892000000000000000e+07,5.000001000000000000e+07,2.751999999999999957e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.120000000000000000e+02,9.250000000000000000e+06,1.500000000000000000e+01,3.335000000000000000e+06,4.832484600000000000e+07,1.200000000000000000e+04,-5.047600000000000000e+07,1.705530000000000000e+08,4.383200000000000000e+07,-1.720650000000000000e+08,1.480000000000000000e+08,1.914000000000000057e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.800000000000000000e+02,3.000000000000000000e+07,1.600000000000000000e+01,8.000000000000000000e+06,3.000000000000000000e+07,6.399000000000000000e+08,9.640000000000000000e+07,5.976000000000000000e+08,1.066000000000000000e+08,4.910000000000000000e+08,5.250000000000000000e+08,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.440000000000000000e+02,8.823529000000000000e+06,1.900000000000000000e+01,5.170508000000000000e+06,6.955439200000000000e+07,3.518000000000000000e+07,-5.696000000000000000e+06,1.662157000000000000e+09,1.491831000000000000e+09,-1.059810000000000000e+08,1.764705800000000000e+08,1.268999999999999950e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.179000000000000000e+03,1.000000000000000000e+07,1.500000000000000000e+01,4.697100000000000000e+06,1.000000000000000000e+07,5.905500000000000000e+07,-1.032920000000000000e+08,8.213340000000000000e+08,3.841680000000000000e+08,4.371650000000000000e+08,1.550000000000000000e+08,1.000000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.100000000000000000e+01,8.900000000000000000e+06,1.600000000000000000e+01,2.690000000000000000e+06,3.263644200000000000e+07,0.000000000000000000e+00,-2.538300000000000000e+07,8.073400000000000000e+07,4.686000000000000000e+06,-3.979200000000000000e+07,1.513000000000000000e+08,2.726999999999999957e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.640000000000000000e+02,5.000000000000000000e+06,9.980000000000000426e+00,2.900000000000000000e+06,1.100683510000000000e+08,5.190000000000000000e+07,-5.640000000000000000e+07,3.098400000000000000e+09,1.626600000000000000e+09,1.471600000000000000e+09,2.495000000000000000e+07,4.540000000000000036e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
